000000-001-002,allium tuberosum,['Petuvirus venapetuniae'],2
000000-001-002,allium tuberosum,['Red clover bacilliform virus'],1
000000-002-004,allium tuberosum,['Red clover bacilliform virus'],1
000000-002-005,allium tuberosum,['Red clover bacilliform virus'],1
000000-003-001,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-003-002,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-003-002,allium tuberosum,['Dioscorea bacilliform virus'],1
000000-003-004,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-003-004,allium tuberosum,['Dioscorea bacilliform virus'],1
000000-003-005,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-006-007,allium tuberosum,['Potato virus S'],9
000000-006-007,allium tuberosum,['Potato mop-top virus'],12
000000-006-007,allium tuberosum,['Red clover bacilliform virus'],1
000000-006-007,allium tuberosum,['Caudoviricetes sp.'],1
000000-006-008,allium tuberosum,['Potato mop-top virus'],13
000000-006-008,allium tuberosum,['Red clover bacilliform virus'],1
000000-006-008,allium tuberosum,['Caudoviricetes sp.'],1
000000-006-009,allium tuberosum,['Potato mop-top virus'],12
000000-006-009,allium tuberosum,['Red clover bacilliform virus'],1
000000-006-009,allium tuberosum,['Caudoviricetes sp.'],1
000000-006-010,allium tuberosum,['Potato virus S'],8
000000-006-010,allium tuberosum,['Potato mop-top virus'],13
000000-006-010,allium tuberosum,['Red clover bacilliform virus'],1
000000-006-010,allium tuberosum,['Caudoviricetes sp.'],1
000000-007-006,allium tuberosum,['Potato virus S'],9
000000-007-008,allium tuberosum,['Potato virus S'],2
000000-008-009,allium tuberosum,['Potato virus S'],15
000000-008-009,allium tuberosum,['Solendovirus venanicotianae'],1
000000-008-010,allium tuberosum,['Red clover bacilliform virus'],1
000000-009-006,allium tuberosum,['Potato virus M'],6
000000-009-007,allium tuberosum,['Tobacco rattle virus'],7
000000-009-007,allium tuberosum,['Potato virus M'],11
000000-009-008,allium tuberosum,['Tobacco rattle virus'],7
000000-009-008,allium tuberosum,['Potato virus M'],7
000000-009-010,allium tuberosum,['Potyvirus yituberosi'],8
000000-009-010,allium tuberosum,['Tobacco rattle virus'],7
000000-009-010,allium tuberosum,['Potato virus M'],10
102906-001-001,unknown,['European mountain ash ringspot-associated emaravirus'],12
102906-001-001,unknown,['Bell pepper mottle virus'],1
102906-001-002,unknown,['Tomato blistering mosaic tymovirus'],1
102906-001-002,unknown,['European mountain ash ringspot-associated emaravirus'],6
102906-001-002,unknown,['Bell pepper mottle virus'],9
102906-001-003,unknown,['Cassava vein mosaic virus'],1
102906-001-003,unknown,['Bell pepper alphaendornavirus'],8
102906-001-005,unknown,['Actinidia chlorotic ringspot-associated emaravirus'],1
102906-001-005,unknown,['Red clover bacilliform virus'],1
102906-001-006,capsicum,['Actinidia chlorotic ringspot-associated emaravirus'],1
102906-001-006,capsicum,['Pepper enamovirus'],19
102906-001-006,capsicum,['Raspberry leaf blotch emaravirus'],3
102906-001-006,capsicum,['Bell pepper alphaendornavirus'],1
102906-001-007,capsicum,['Raspberry leaf blotch emaravirus'],1
102906-001-007,capsicum,['Red clover bacilliform virus'],1
102906-001-008,unknown,['Tomato blistering mosaic tymovirus'],23
102906-001-010,unknown,['Tomato blistering mosaic tymovirus'],1
102906-001-011,unknown,['Red clover bacilliform virus'],1
102906-001-013,unknown,['European mountain ash ringspot-associated emaravirus'],9
102906-001-014,unknown,['Bell pepper mottle virus'],131
102906-001-017,capsicum annuum,['Pepper enamovirus'],9
102906-001-017,capsicum annuum,['Bell pepper alphaendornavirus'],20
102906-001-018,unknown,['Dioscorea bacilliform virus'],1
102906-001-019,unknown,['Dioscorea bacilliform virus'],1
102906-001-020,unknown,['Dioscorea bacilliform virus'],1
102906-001-021,unknown,['Cassava vein mosaic virus'],1
103165-001-002,solanum tuberosum,['Potato virus A'],14
103165-001-002,solanum tuberosum,['Cassava Torrado-like virus'],1
103165-001-004,solanum tuberosum,['Red clover nepovirus A'],1
103165-001-004,solanum tuberosum,['Potato virus A'],11
103165-001-004,solanum tuberosum,['Potato virus V'],17
103165-001-004,solanum tuberosum,['Tobacco vein clearing virus'],1
103165-001-005,cichorium intybus,['Pepper mild mottle virus'],6
103165-001-005,cichorium intybus,['Naranjilla mild mosaic virus'],1
103165-001-005,cichorium intybus,['Tomato necrotic spot virus'],1
103165-001-006,solanum tuberosum,['Potato virus A'],5
103165-001-006,solanum tuberosum,['Red clover nepovirus A'],1
103165-001-006,solanum tuberosum,['Potato virus V'],26
103165-001-006,solanum tuberosum,['Potato virus X'],23
103165-001-006,solanum tuberosum,['Beet ringspot virus'],1
103165-001-006,solanum tuberosum,['Grapevine chrome mosaic virus'],1
