102906-001-005, 6127344
102906-001-006, 6116194
102906-001-007, 6116194
102906-001-017, 6184904
103165-001-001, 4195546
103165-001-002, 4631731
103165-001-003, 5857417
103165-001-004, 4631774
103165-001-005, 6792643
103165-001-006, 4631741
103165-001-007, 6079493
103165-001-008, 4631758
103165-001-009, 32643836
103165-001-010, 5998922
103165-001-011, 5998991
103165-001-012, 32643836
103165-001-013, 4631766
103165-001-015, 5998981
103165-001-016, 5306666
103165-001-017, 4065637
103165-001-018, 4631723
103165-001-019, 21007721
103165-001-020, 6045859
103165-002-002, 33377023
103165-002-003, 6183653
103165-002-004, 3264976
103165-002-005, 6183661
103165-002-007, 5876159
103165-002-008, 32741989
103165-002-009, 5398951
103165-002-011, 99907708
103165-003-002, 6045859
103165-003-004, 33320609
103165-003-006, 33478238
103165-003-008, 33013246
103165-003-012, 6934090
103165-003-014, 34147449
103165-003-015, 32945551
103165-003-016, 4063308
103165-008-001, 33478182
103165-008-002, 4245144
103165-008-003, 32624821
103165-008-004, 5657423
103165-008-005, 33492216
103165-008-006, 5875017
103165-008-007, 32726561
103165-008-008, 34186309
103165-008-009, 34186333
103165-008-010, 6169941
103165-008-011, 6045859
103165-009-001, 34004763
103165-009-002, 33226137
103165-009-003, 34008430
103165-009-004, 5379515
103165-009-005, 34173268
103165-009-006, 6169800
103165-009-007, 6169851
103165-009-008, 6169819
103165-009-009, 39392971
103165-009-010, 6169827
103165-009-011, 6184998
103165-009-012, 5379443
103165-009-013, 39392515
103165-009-014, 33289605
103165-009-015, 33194534
103165-009-016, 39393024
103165-012-001, 33558609
103165-012-002, 33558596
103165-012-003, 32653989
103165-012-004, 32654359
103165-012-005, 32654340
103165-012-006, 33448733
103165-012-007, 6169704
103165-012-008, 33483416
103165-012-009, 33483416
103165-012-010, 6169691
103165-012-011, 39832277
103165-012-012, 32654375
103165-012-013, 33558588
103165-013-001, 33798565
103165-013-002, 36301825
103165-013-003, 32892752
103165-013-004, 33388072
103165-013-005, 32654316
103165-013-006, 34019922
103165-013-007, 4062970
103165-013-008, 39832349
103165-013-009, 3372101
103165-013-010, 36301817
103165-013-011, 09
103165-013-012, 90
103165-013-013, 90
103165-013-014, 90
103165-013-015, 33483416
103165-014-002, 32820644
103165-015-001, 34155780
103165-015-002, 39557340
103165-015-003, 33485550
103165-015-004, 39834264
103165-015-005, 39834264
103165-015-006, 39834264
103165-016-001, 5377781
103165-016-002, 36382143
103165-016-003, 33224651
103165-016-004, 38763636
103165-016-005, 33841164
103165-016-006, 38763601
103165-016-007, 33841172
103165-016-008, 33841180
103165-016-009, 38762094
103165-016-010, 38763611
103165-016-011, 34172644
103165-018-001, 33224811
103165-018-002, 32654148
103165-018-003, 33224801
103165-018-004, 36382186
103165-018-005, 36382178
103165-018-006, 39831709
103165-018-007, 36382161
103165-018-008, 36266505
103165-018-009, 36382151
103165-018-010, 36380703
103165-018-011, 36380690
103165-018-012, 39468508
103165-018-013, 36382194
103165-018-014, 6934744
103165-018-015, 33200877
103165-018-016, 38764495
103165-018-017, 33267596
103165-018-018, 33224780
103165-018-019, 38587505
103165-019-001, 38587505
103165-019-002, 38587505
103165-019-003, 38587505
103165-019-004, 38587505
103165-019-005, 38587505
103165-019-006, 38587505
103165-019-007, 38587505
103165-019-008, 38587505
103165-019-009, 38587505
103165-019-010, 38587505
103165-019-011, 38587505
103165-019-012, 38587505
103165-019-013, 38587505
103165-019-014, 34171342
103165-019-015, 33224756
103165-019-016, 32653575
103165-019-017, 33224748
