000000-001-002,allium tuberosum,Red clover bacilliform virus,1214920,species,"['105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_5481_(220..413)_consensus_chunk11055']"
000000-001-002,allium tuberosum,Petuvirus venapetuniae,3048265,species,"['105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_44157_(134..284)_consensus_chunk62102', '105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_8732_(421..600)_consensus_chunk17588']"
000000-001-004,allium tuberosum,Potyvirus yituberosi,3240642,species,"['105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84513_(855..2207)_consensus_chunk72884', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(2687..2837)_consensus_chunk72936', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84516_(1002..1553)_consensus_chunk72888', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84513_(1..431)_consensus_chunk72877', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(23..286)_consensus_chunk72926', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84517_(1396..1749)_consensus_chunk72901', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84517_(617..809)_consensus_chunk72895', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84631_(179..291)_consensus_chunk72997', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84516_(1953..2152)_consensus_chunk72890', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(1316..1497)_consensus_chunk72932', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84793_(51..165)_consensus_chunk73067', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84950_(90..220)_consensus_chunk73107', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84651_(18..279)_consensus_chunk73009', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(2186..2490)_consensus_chunk72935', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84513_(477..787)_consensus_chunk72879', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84538_(22..337)_consensus_chunk72921', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(2979..3129)_consensus_chunk72940', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84536_(1563..1721)_consensus_chunk72919', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84599_(1031..1185)_consensus_chunk72977', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84536_(100..740)_consensus_chunk72911', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84544_(1088..1282)_consensus_chunk72947', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(1674..1918)_consensus_chunk72933', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84537_(1..631)_consensus_chunk72920', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84516_(2159..2416)_consensus_chunk72891', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84544_(181..583)_consensus_chunk72942', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84536_(834..1377)_consensus_chunk72914', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84599_(27..629)_consensus_chunk72975', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84544_(1421..1560)_consensus_chunk72949', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84543_(492..637)_consensus_chunk72928', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_84631_(17..167)_consensus_chunk72996']"
000000-001-004,allium tuberosum,Red clover bacilliform virus,1214920,species,"['105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_23766_(220..413)_consensus_chunk42402']"
000000-001-004,allium tuberosum,Petuvirus venapetuniae,3048265,species,"['105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_44130_(134..284)_consensus_chunk62001', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_8638_(421..600)_consensus_chunk17425']"
000000-002-004,allium tuberosum,Red clover bacilliform virus,1214920,species,"['105447-024-002_with_105447-024-004.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_58604_(1..170)_consensus_chunk88808']"
000000-002-005,allium tuberosum,Red clover bacilliform virus,1214920,species,"['105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_58657_(1..170)_consensus_chunk89125']"
000000-002-005,allium tuberosum,Potyvirus yituberosi,3240642,species,"['105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117961_(65..272)_consensus_chunk114460', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117954_(1002..1553)_consensus_chunk114411', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117959_(856..1050)_consensus_chunk114441', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(2687..2837)_consensus_chunk114455', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117953_(834..1377)_consensus_chunk114403', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117955_(617..809)_consensus_chunk114418', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117959_(1120..1237)_consensus_chunk114444', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(492..637)_consensus_chunk114447', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117959_(566..717)_consensus_chunk114439', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117959_(70..176)_consensus_chunk114434', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(2186..2490)_consensus_chunk114454', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117962_(179..291)_consensus_chunk114462', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117968_(90..220)_consensus_chunk114473', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117956_(855..2350)_consensus_chunk114432', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117954_(1953..2152)_consensus_chunk114413', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117956_(477..787)_consensus_chunk114427', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117949_(1..631)_consensus_chunk114396', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117957_(105..420)_consensus_chunk114433', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117956_(1..431)_consensus_chunk114425', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117962_(17..167)_consensus_chunk114461', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(1316..1497)_consensus_chunk114451', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117964_(318..700)_consensus_chunk114464', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117954_(2159..2520)_consensus_chunk114414', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(23..286)_consensus_chunk114445', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(1674..1918)_consensus_chunk114452', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117952_(18..279)_consensus_chunk114399', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117951_(142..297)_consensus_chunk114398', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117953_(100..740)_consensus_chunk114400', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117960_(2979..3134)_consensus_chunk114459', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117955_(1408..1559)_consensus_chunk114423', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117953_(1563..1721)_consensus_chunk114408', '105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_117950_(27..588)_consensus_chunk114397']"
000000-003-001,allium tuberosum,Betanucleorhabdovirus cnidii,3059773,species,"['105447-024-003_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56827_(100..222)_consensus_chunk88279']"
000000-003-002,allium tuberosum,Betanucleorhabdovirus cnidii,3059773,species,"['105447-024-003_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56810_(100..222)_consensus_chunk88246']"
